"k","p","tau2","True_R2","v_model","x_corr","Apparent_R2","CV_R2_w","CV_R2_uw","Delta_CV","Opt_w","Opt_uw","I2_mean","wcv_mean","wgini_mean"
20,1,0.05,0,"gamma",0,19.684555803014,10.4244200471181,16.1796848269601,-5.75526477984201,9.26013575589597,3.50487097605396,33.2681571678117,0.320204112731925,0.167476083422085
40,1,0.05,0,"gamma",0,7.21613548500107,6.68380009166154,14.3089697690315,-7.62516967737001,0.532335393339527,-7.09283428403048,34.2595015367618,0.317483572502881,0.169571866106246
20,2,0.05,0,"gamma",0,21.6619500717721,14.061678968824,15.7592440533537,-1.69756508452976,7.60027110294815,5.9027060184184,31.9857520994522,0.328769911012906,0.170887899977823
40,2,0.05,0,"gamma",0,8.96385813871754,4.50722240935593,9.4513023589268,-4.94407994957088,4.45663572936161,-0.487444220209267,34.7106683142664,0.313229132308764,0.168106640338674
20,1,0.2,0,"gamma",0,5.91086458119949,2.45616015473395,3.49571736342607,-1.03955720869211,3.45470442646554,2.41514721777343,67.2883878530635,0.155508401690327,0.0840526872874906
40,1,0.2,0,"gamma",0,1.30410951910486,0.515455088058588,1.5814580154748,-1.06600292741622,0.788654431046274,-0.277348496369942,68.7277539188317,0.150020883867364,0.0833649173523141
20,2,0.2,0,"gamma",0,7.42238727479288,2.49901557437792,3.28646387848355,-0.787448304105628,4.92337170041495,4.13592339630933,66.8192704268002,0.156271921148337,0.0848515672625677
40,2,0.2,0,"gamma",0,2.35337846097447,0.812012817943922,1.37441083002106,-0.562398012077137,1.54136564303055,0.978967630953409,69.1725453233986,0.147502198622976,0.0821042139407965
20,1,0.05,0.25,"gamma",0,30.5965568182949,18.6152045072896,23.4026832767153,-4.78747876942567,11.9813523110053,7.19387354157964,38.9055756406886,0.292785764479369,0.153917766908623
40,1,0.05,0.25,"gamma",0,28.6148411188495,21.6618149672962,25.7808676736487,-4.11905270635255,6.9530261515533,2.83397344520075,41.6308039817994,0.278206965887331,0.150618733511174
20,2,0.05,0.25,"gamma",0,33.286881563205,20.1215304432725,22.0336521506231,-1.91212170735056,13.1653511199325,11.2532294125819,38.1909361530434,0.29894300006101,0.156117803510363
