"Dataset","Description","k","p","kp_ratio","I2","tau2_null","tau2_full","Apparent_R2","CV_R2_weighted","CV_R2_unweighted","Delta_CV","Weight_CV","Weight_Gini","CV_truncated_w","CV_truncated_uw","Recommendation"
"BCG Vaccine","TB vaccine trials by latitude and publication year",13,2,6.5,92.2213860749656,0.313243325980895,0.11078735154601,64.6321749396932,6.31976364756319,2.34124635024066,3.97851729732254,0.294357315674636,0.157485162934796,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Teacher Expectations","Teacher expectancy effects by study duration",19,1,19,41.8570912145439,0.0188263480558419,0.0111765630143256,40.6333985689939,0,0,0,0.481607174927028,0.266975529441063,FALSE,FALSE,"Default to precision-weighted CV; report both if differ >5pp."
"School Achievement","School-based programs by publication year",56,1,56,94.7049295445158,0.0884384954859576,0.0888553716945563,0,0,7.79984273089169,-7.79984273089169,0.200947042728749,0.103145481440088,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Dental Trials","Dental treatment trials by publication year",10,1,10,98.3109460428222,0.160887114889235,0.181882509682813,0,0,0,0,0.049864627914135,0.0230581234501328,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Passive Smoking","Lung cancer risk from passive smoking by country",37,8,4.625,29.5699817684802,0.0223951749312879,0.0122046508453804,45.5032127106563,0.633747520789607,81.8439015362843,-81.2101540154947,0.701480535818477,0.378276966329851,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Colditz BCG","BCG vaccine efficacy by absolute latitude",13,1,13,92.0726915518116,0.337772045077251,0.0504466501677381,85.0648829875188,54.5694251307287,43.9428196084319,10.6266055222968,0.288461092268001,0.153767116637852,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Writing Interventions","School writing programs by duration and grade level",46,2,23,57.0862536492542,0.0464628605879125,0.0470055058294227,0,0,0,0,0.394126914711468,0.220390711396933,FALSE,FALSE,"Use precision-weighted CV as primary; report both."
"Streptokinase","Thrombolytic therapy trials by publication year",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Report both weighted and unweighted CV (insufficient diagnostic info)."
