"Dataset","k","p","kp_ratio","I2","tau2_null","tau2_full","Apparent_R2","CV_R2_weighted","CV_R2_unweighted","Delta_CV","Weight_CV","Weight_Gini","CV_truncated_w","CV_truncated_uw","Recommendation"
"BCG",13,2,6.5,92.2213860749656,0.313243325980895,0.11078735154601,64.6321749396932,6.31976364756319,2.34124635024066,3.97851729732254,0.294357315674636,0.157485162934796,FALSE,FALSE,"Use precision-weighted CV as primary; also report unweighted."
"Teacher",19,1,19,41.8570912145439,0.0188263480558419,0.0111765630143256,40.6333985689939,0,0,0,0.481607174927028,0.266975529441063,FALSE,FALSE,"Default to precision-weighted CV; report both if results differ >5pp."
"Konstantopoulos",56,1,56,94.7049295445158,0.0884384954859576,0.0888553716945563,0,0,7.79984273089169,-7.79984273089169,0.200947042728749,0.103145481440088,FALSE,FALSE,"Use precision-weighted CV as primary; also report unweighted."
"Berkey",10,1,10,98.3109460428222,0.160887114889235,0.181882509682813,0,0,0,0,0.049864627914135,0.0230581234501328,FALSE,FALSE,"Use precision-weighted CV as primary; also report unweighted."
"Hackshaw",37,1,37,29.5699817684802,0.0223951749312879,0.0238536593570612,0,28.6567946115442,100,-71.3432053884558,0.701480535818477,0.378276966329851,FALSE,TRUE,"Use precision-weighted CV as primary; also report unweighted."
