"review_id","analysis_id","analysis_group","analysis_number","analysis_name","subgroup","subgroup_number","study_id","study_year","outcome_type","measure","TE","seTE","review_doi","review_url"
"CD000028","CD000028_G1_N1",1,1,"All-cause mortality","",NA,"STOP 1991",1991,"GENSUM","GEN_CI",0.57354,0.119497193877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N1",1,1,"All-cause mortality","",NA,"Sprackling 1981",1981,"GENSUM","GEN_CI",1.108793,0.117315306122449,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N1",1,1,"All-cause mortality","",NA,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.859996,0.104801530612245,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"Coope 1986",1986,"GENSUM","GEN_CI",0.295943,0.200414795918367,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.687143,0.197527295918367,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"HYVET 2008",NA,"GENSUM","GEN_CI",0.635873,0.161525,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"HYVET P 2003",1999,"GENSUM","GEN_CI",0.587462,0.263984693877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"Kuramoto 1981",1981,"GENSUM","GEN_CI",2.136364,5.74960714285714,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.893059,0.205983673469388,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.864488,0.526326275510204,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"SHEP 1991",1991,"GENSUM","GEN_CI",0.716098,0.329131887755102,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.243792,0.427675510204082,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
