"review_id","analysis_id","n_effects"
"CD000028","CD000028_G1_N1",13
"CD000028","CD000028_G1_N2",21
"CD000028","CD000028_G1_N3",15
"CD000028","CD000028_G1_N4",13
"CD000028","CD000028_G1_N5",11
"CD000028","CD000028_G1_N6",4
"CD000028","CD000028_G2_N1",17
"CD000028","CD000028_G2_N2",15
"CD000028","CD000028_G2_N3",15
"CD000028","CD000028_G2_N4",13
"CD000028","CD000028_G3_N1",6
"CD000028","CD000028_G3_N2",6
"CD000028","CD000028_G3_N3",6
"CD000028","CD000028_G3_N4",6
"CD000028","CD000028_G3_N5",2
"CD000143","CD000143_G1_N1",9
"CD000143","CD000143_G1_N2",9
"CD000143","CD000143_G1_N6",1
"CD000143","CD000143_G1_N7",1
"CD000143","CD000143_G3_N1",2
"CD000143","CD000143_G3_N2",1
"CD000143","CD000143_G4_N1",8
"CD000143","CD000143_G5_N1",8
"CD000143","CD000143_G5_N2",3
"CD000219","CD000219_G1_N1",1
"CD000478","CD000478_G2_N1",1
"CD000478","CD000478_G3_N1",1
"CD000478","CD000478_G8_N1",1
"CD000547","CD000547_G5_N2",3
"CD000547","CD000547_G6_N3",3
"CD001155","CD001155_G6_N4",1
"CD001155","CD001155_G8_N4",1
"CD001396","CD001396_G4_N1",3
"CD001431","CD001431_G1_N4",13
"CD001431","CD001431_G1_N5",9
"CD001431","CD001431_G7_N1",42
"CD001533","CD001533_G1_N2",12
"CD001533","CD001533_G1_N4",1
"CD001533","CD001533_G11_N1",1
"CD001533","CD001533_G11_N7",1
"CD001552","CD001552_G1_N10",1
"CD001552","CD001552_G1_N9",1
"CD001552","CD001552_G2_N3",1
"CD001552","CD001552_G5_N10",1
"CD001703","CD001703_G1_N1",6
"CD001703","CD001703_G1_N10",2
"CD001703","CD001703_G1_N11",1
"CD001703","CD001703_G1_N12",1
"CD001703","CD001703_G1_N13",6
"CD001703","CD001703_G1_N14",2
"CD001703","CD001703_G1_N15",1
"CD001703","CD001703_G1_N16",3
"CD001703","CD001703_G1_N17",1
"CD001703","CD001703_G1_N19",1
"CD001703","CD001703_G1_N2",10
"CD001703","CD001703_G1_N22",1
"CD001703","CD001703_G1_N23",1
"CD001703","CD001703_G1_N24",1
"CD001703","CD001703_G1_N25",3
"CD001703","CD001703_G1_N26",2
"CD001703","CD001703_G1_N27",7
"CD001703","CD001703_G1_N3",1
"CD001703","CD001703_G1_N4",6
"CD001703","CD001703_G1_N5",1
"CD001703","CD001703_G1_N6",2
"CD001703","CD001703_G1_N7",1
"CD001703","CD001703_G1_N8",3
"CD001703","CD001703_G1_N9",1
"CD001797","CD001797_G1_N2",2
"CD001797","CD001797_G1_N5",1
"CD001797","CD001797_G1_N6",3
"CD001797","CD001797_G3_N4",1
"CD001797","CD001797_G4_N4",1
"CD001909","CD001909_G3_N2",1
"CD001920","CD001920_G1_N1",51
"CD001920","CD001920_G1_N2",50
"CD001920","CD001920_G1_N3",8
"CD001920","CD001920_G1_N4",17
"CD001920","CD001920_G1_N5",1
"CD001920","CD001920_G1_N6",5
"CD001920","CD001920_G10_N1",30
"CD001920","CD001920_G10_N2",53
"CD001920","CD001920_G10_N3",45
"CD001920","CD001920_G10_N4",47
"CD001920","CD001920_G10_N5",46
"CD001920","CD001920_G10_N6",53
"CD001920","CD001920_G10_N7",53
"CD001920","CD001920_G11_N1",10
"CD001920","CD001920_G11_N2",21
"CD001920","CD001920_G11_N3",16
"CD001920","CD001920_G11_N4",15
"CD001920","CD001920_G11_N5",14
"CD001920","CD001920_G11_N6",20
"CD001920","CD001920_G12_N1",14
"CD001920","CD001920_G12_N2",22
"CD001920","CD001920_G12_N3",15
"CD001920","CD001920_G12_N4",16
"CD001920","CD001920_G12_N5",12
"CD001920","CD001920_G12_N6",22
"CD001920","CD001920_G2_N1",13
"CD001920","CD001920_G2_N2",12
"CD001920","CD001920_G2_N3",3
"CD001920","CD001920_G2_N4",7
"CD001920","CD001920_G3_N2",3
"CD001920","CD001920_G3_N3",2
"CD001920","CD001920_G3_N4",7
"CD001920","CD001920_G3_N5",1
"CD001920","CD001920_G3_N6",3
"CD001920","CD001920_G4_N2",2
"CD001920","CD001920_G4_N4",4
"CD001920","CD001920_G5_N1",19
"CD001920","CD001920_G5_N2",20
"CD001920","CD001920_G5_N3",13
"CD001920","CD001920_G5_N4",16
"CD001920","CD001920_G5_N5",4
"CD001920","CD001920_G6_N2",1
"CD001920","CD001920_G6_N3",1
"CD001920","CD001920_G6_N4",3
"CD001920","CD001920_G7_N1",20
"CD001920","CD001920_G7_N10",15
"CD001920","CD001920_G7_N11",1
"CD001920","CD001920_G7_N2",18
"CD001920","CD001920_G7_N3",21
"CD001920","CD001920_G7_N4",23
"CD001920","CD001920_G7_N6",6
"CD001920","CD001920_G7_N7",14
"CD001920","CD001920_G7_N8",14
"CD001920","CD001920_G7_N9",5
"CD001920","CD001920_G8_N1",4
"CD001920","CD001920_G8_N2",5
"CD001920","CD001920_G8_N3",4
"CD001920","CD001920_G8_N4",8
"CD001920","CD001920_G8_N6",2
"CD001920","CD001920_G8_N8",1
"CD001920","CD001920_G8_N9",2
"CD001920","CD001920_G9_N1",29
"CD001920","CD001920_G9_N2",54
"CD001920","CD001920_G9_N3",46
"CD001920","CD001920_G9_N4",48
"CD001920","CD001920_G9_N5",48
"CD001920","CD001920_G9_N6",54
"CD001920","CD001920_G9_N7",54
"CD002042","CD002042_G1_N1",52
"CD002042","CD002042_G1_N10",44
"CD002042","CD002042_G1_N11",31
"CD002042","CD002042_G1_N12",29
"CD002042","CD002042_G1_N13",18
"CD002042","CD002042_G1_N14",10
"CD002042","CD002042_G1_N15",24
"CD002042","CD002042_G1_N16",4
"CD002042","CD002042_G1_N17",33
"CD002042","CD002042_G1_N18",20
"CD002042","CD002042_G1_N19",26
"CD002042","CD002042_G1_N2",53
"CD002042","CD002042_G1_N20",36
"CD002042","CD002042_G1_N21",20
"CD002042","CD002042_G1_N22",18
"CD002042","CD002042_G1_N23",13
"CD002042","CD002042_G1_N24",12
"CD002042","CD002042_G1_N25",3
"CD002042","CD002042_G1_N26",15
"CD002042","CD002042_G1_N27",21
"CD002042","CD002042_G1_N28",12
"CD002042","CD002042_G1_N29",4
"CD002042","CD002042_G1_N3",42
"CD002042","CD002042_G1_N30",15
"CD002042","CD002042_G1_N31",9
"CD002042","CD002042_G1_N32",10
"CD002042","CD002042_G1_N33",18
"CD002042","CD002042_G1_N34",10
"CD002042","CD002042_G1_N4",41
"CD002042","CD002042_G1_N5",21
"CD002042","CD002042_G1_N6",44
"CD002042","CD002042_G1_N7",37
"CD002042","CD002042_G1_N8",45
"CD002042","CD002042_G1_N9",45
"CD002042","CD002042_G2_N1",5
"CD002042","CD002042_G2_N10",3
"CD002042","CD002042_G2_N11",2
"CD002042","CD002042_G2_N12",2
"CD002042","CD002042_G2_N13",1
"CD002042","CD002042_G2_N14",1
"CD002042","CD002042_G2_N15",2
"CD002042","CD002042_G2_N16",3
"CD002042","CD002042_G2_N17",3
"CD002042","CD002042_G2_N18",2
"CD002042","CD002042_G2_N19",3
"CD002042","CD002042_G2_N2",6
"CD002042","CD002042_G2_N20",3
"CD002042","CD002042_G2_N21",1
"CD002042","CD002042_G2_N22",1
"CD002042","CD002042_G2_N3",2
"CD002042","CD002042_G2_N4",7
"CD002042","CD002042_G2_N5",8
"CD002042","CD002042_G2_N6",7
"CD002042","CD002042_G2_N7",6
"CD002042","CD002042_G2_N8",6
"CD002042","CD002042_G2_N9",3
"CD002052","CD002052_G2_N10",1
"CD002052","CD002052_G2_N5",1
"CD002052","CD002052_G2_N6",1
"CD002052","CD002052_G4_N1",1
"CD002112","CD002112_G1_N1",11
"CD002112","CD002112_G1_N2",8
"CD002112","CD002112_G1_N6",3
"CD002112","CD002112_G2_N1",3
"CD002112","CD002112_G2_N2",3
"CD002112","CD002112_G4_N4",1
"CD002112","CD002112_G6_N2",1
"CD002112","CD002112_G7_N2",1
"CD002115","CD002115_G1_N9",2
"CD002115","CD002115_G2_N1",3
"CD002115","CD002115_G2_N2",9
"CD002115","CD002115_G2_N3",7
"CD002122","CD002122_G1_N1",7
"CD002122","CD002122_G1_N2",6
"CD002122","CD002122_G1_N3",7
"CD002122","CD002122_G1_N4",1
"CD002122","CD002122_G1_N5",1
"CD002122","CD002122_G1_N6",5
"CD002122","CD002122_G1_N7",33
"CD002122","CD002122_G10_N1",8
"CD002122","CD002122_G10_N2",15
"CD002122","CD002122_G11_N1",2
"CD002122","CD002122_G11_N2",11
"CD002122","CD002122_G12_N1",11
"CD002122","CD002122_G12_N2",1
"CD002122","CD002122_G13_N1",4
"CD002122","CD002122_G13_N2",1
"CD002122","CD002122_G13_N3",14
"CD002122","CD002122_G14_N1",1
"CD002122","CD002122_G2_N1",3
"CD002122","CD002122_G2_N2",2
"CD002122","CD002122_G2_N3",10
"CD002122","CD002122_G3_N1",3
"CD002122","CD002122_G3_N2",5
"CD002122","CD002122_G4_N1",7
"CD002122","CD002122_G4_N2",2
"CD002122","CD002122_G4_N3",4
"CD002122","CD002122_G4_N4",8
"CD002122","CD002122_G4_N5",1
"CD002122","CD002122_G4_N6",42
"CD002122","CD002122_G5_N1",12
"CD002122","CD002122_G5_N2",9
"CD002122","CD002122_G5_N3",7
"CD002122","CD002122_G5_N4",1
"CD002122","CD002122_G5_N5",7
"CD002122","CD002122_G5_N6",1
"CD002122","CD002122_G5_N7",57
"CD002122","CD002122_G6_N1",2
"CD002122","CD002122_G6_N2",18
"CD002122","CD002122_G7_N1",6
"CD002122","CD002122_G7_N2",1
"CD002122","CD002122_G7_N3",4
"CD002122","CD002122_G8_N1",5
"CD002122","CD002122_G8_N2",7
"CD002122","CD002122_G9_N1",4
"CD002122","CD002122_G9_N2",1
"CD002122","CD002122_G9_N3",2
"CD002122","CD002122_G9_N4",8
"CD002203","CD002203_G1_N26",4
"CD002203","CD002203_G1_N34",1
"CD002203","CD002203_G1_N35",1
"CD002203","CD002203_G1_N4",4
"CD002243","CD002243_G1_N1",68
"CD002243","CD002243_G1_N11",1
"CD002243","CD002243_G1_N12",1
"CD002243","CD002243_G1_N2",2
"CD002243","CD002243_G1_N20",1
"CD002243","CD002243_G1_N21",1
"CD002243","CD002243_G1_N3",2
"CD002243","CD002243_G1_N4",2
"CD002243","CD002243_G1_N5",1
"CD002243","CD002243_G1_N6",2
"CD002243","CD002243_G1_N7",2
"CD002243","CD002243_G1_N8",3
"CD002243","CD002243_G1_N9",15
"CD002243","CD002243_G2_N6",1
"CD002243","CD002243_G2_N7",1
"CD002290","CD002290_G12_N3",2
"CD002290","CD002290_G14_N1",2
"CD002290","CD002290_G15_N1",1
"CD002290","CD002290_G15_N2",1
"CD002290","CD002290_G17_N1",4
"CD002290","CD002290_G17_N2",1
"CD002290","CD002290_G17_N3",8
"CD002290","CD002290_G17_N4",1
"CD002290","CD002290_G17_N5",1
"CD002290","CD002290_G21_N1",4
"CD002290","CD002290_G23_N1",2
"CD002290","CD002290_G24_N1",2
"CD002290","CD002290_G3_N1",4
"CD002290","CD002290_G3_N2",3
"CD002290","CD002290_G4_N5",1
"CD002290","CD002290_G5_N1",2
"CD002290","CD002290_G6_N1",1
"CD002290","CD002290_G9_N1",16
"CD002290","CD002290_G9_N4",1
"CD002971","CD002971_G1_N1",10
"CD002971","CD002971_G1_N10",6
"CD002971","CD002971_G1_N11",3
"CD002971","CD002971_G1_N12",1
"CD002971","CD002971_G1_N14",6
"CD002971","CD002971_G1_N2",7
"CD002971","CD002971_G1_N3",7
"CD002971","CD002971_G1_N4",3
"CD002971","CD002971_G1_N5",8
