"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD000028_G1_N1","CD000028","GENSUM","GEN_CI",13,0.161,"Low Fragility",26,0.9015,0,1987.5
"CD000028_G1_N2","CD000028","GENSUM","GEN_CI",21,0.015,"Robust",4.3,0.6781,0,1989
"CD000028_G1_N3","CD000028","GENSUM","GEN_CI",15,0.204,"Low Fragility",61.3,0.73,0,1986
"CD000028_G1_N4","CD000028","GENSUM","GEN_CI",13,0.111,"Robust",0,0.641,0,1987.5
"CD000028_G1_N5","CD000028","GENSUM","GEN_CI",11,0.139,"Robust",0,0.764,0,1987.5
"CD000028_G1_N6","CD000028","GENSUM","GEN_CI",4,0.67,"High Fragility",98,2.5004,0.0346,1991
"CD000028_G2_N1","CD000028","GENSUM","GEN_CI",17,0.177,"Low Fragility",63.1,0.8895,0,1990
"CD000028_G2_N2","CD000028","GENSUM","GEN_CI",15,0.143,"Robust",30.1,0.7056,0,1991
"CD000028_G2_N3","CD000028","GENSUM","GEN_CI",15,0.108,"Robust",13.1,0.6146,0,1991
"CD000028_G2_N4","CD000028","GENSUM","GEN_CI",13,0.108,"Robust",0,0.78,0,1991
"CD000028_G3_N1","CD000028","GENSUM","GEN_CI",6,0.343,"Moderate Fragility",59.2,0.8599,0,1991
"CD000028_G3_N2","CD000028","GENSUM","GEN_CI",6,0.214,"Low Fragility",0,0.6531,0,1991
"CD000028_G3_N3","CD000028","GENSUM","GEN_CI",6,0.238,"Low Fragility",5.3,0.5763,0,1991
"CD000028_G3_N4","CD000028","GENSUM","GEN_CI",6,0.215,"Low Fragility",0,0.7338,0,1991
"CD000143_G1_N1","CD000143","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,1995
"CD000143_G1_N2","CD000143","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,1995
"CD000143_G4_N1","CD000143","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1995
"CD000143_G5_N1","CD000143","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1995
"CD000143_G5_N2","CD000143","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1998
"CD000547_G5_N2","CD000547","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2009
"CD000547_G6_N3","CD000547","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2012
"CD001396_G4_N1","CD001396","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2004
"CD001431_G1_N4","CD001431","GENSUM","GIV",13,0.105,"Robust",0,0,1,2011
"CD001431_G1_N5","CD001431","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2016
"CD001431_G7_N1","CD001431","GENSUM","GIV",42,0,"Robust",0,0,1,2013.5
"CD001533_G1_N2","CD001533","GENSUM","GIV",12,0.12,"Robust",0,0,1,1999.5
"CD001703_G1_N1","CD001703","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2009.5
"CD001703_G1_N13","CD001703","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2009.5
"CD001703_G1_N16","CD001703","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD001703_G1_N2","CD001703","GENSUM","GIV",10,0.15,"Robust",0,0,1,2009.5
"CD001703_G1_N25","CD001703","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD001703_G1_N27","CD001703","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2007
"CD001703_G1_N4","CD001703","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2009.5
"CD001703_G1_N8","CD001703","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2009
"CD001797_G1_N6","CD001797","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1996
"CD001920_G1_N1","CD001920","GENSUM","GIV",51,0,"Robust",0,0,1,2012
"CD001920_G1_N2","CD001920","GENSUM","GIV",50,0,"Robust",0,0,1,2010
"CD001920_G1_N3","CD001920","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2018
"CD001920_G1_N4","CD001920","GENSUM","GIV",17,0.045,"Robust",0,0,1,2015
"CD001920_G1_N6","CD001920","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2021
"CD001920_G10_N1","CD001920","GENSUM","GIV",30,0,"Robust",0,0,1,2013
"CD001920_G10_N2","CD001920","GENSUM","GIV",53,0,"Robust",0,0,1,2010.5
"CD001920_G10_N3","CD001920","GENSUM","GIV",45,0,"Robust",0,0,1,2009
"CD001920_G10_N4","CD001920","GENSUM","GIV",47,0,"Robust",0,0,1,2007
"CD001920_G10_N5","CD001920","GENSUM","GIV",46,0,"Robust",0,0,1,2013
"CD001920_G10_N6","CD001920","GENSUM","GIV",53,0,"Robust",0,0,1,2010.5
"CD001920_G10_N7","CD001920","GENSUM","GIV",53,0,"Robust",0,0,1,2010.5
