"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD001920_G11_N1","CD001920","GENSUM","GIV",10,0.15,"Robust",0,0,1,2014
"CD001920_G11_N2","CD001920","GENSUM","GIV",21,0,"Robust",0,0,1,2014
"CD001920_G11_N3","CD001920","GENSUM","GIV",16,0.06,"Robust",0,0,1,2014
"CD001920_G11_N4","CD001920","GENSUM","GIV",15,0.075,"Robust",0,0,1,2014
"CD001920_G11_N5","CD001920","GENSUM","GIV",14,0.09,"Robust",0,0,1,2014
"CD001920_G11_N6","CD001920","GENSUM","GIV",20,0,"Robust",0,0,1,2014
"CD001920_G12_N1","CD001920","GENSUM","GIV",14,0.09,"Robust",0,0,1,2014
"CD001920_G12_N2","CD001920","GENSUM","GIV",22,0,"Robust",0,0,1,2014
"CD001920_G12_N3","CD001920","GENSUM","GIV",15,0.075,"Robust",0,0,1,2013.5
"CD001920_G12_N4","CD001920","GENSUM","GIV",16,0.06,"Robust",0,0,1,2013
"CD001920_G12_N5","CD001920","GENSUM","GIV",12,0.12,"Robust",0,0,1,2013
"CD001920_G12_N6","CD001920","GENSUM","GIV",22,0,"Robust",0,0,1,2014
"CD001920_G2_N1","CD001920","GENSUM","GIV",13,0.105,"Robust",0,0,1,2004
"CD001920_G2_N2","CD001920","GENSUM","GIV",12,0.12,"Robust",0,0,1,2005.5
"CD001920_G2_N3","CD001920","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD001920_G2_N4","CD001920","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2018
"CD001920_G3_N2","CD001920","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2007
"CD001920_G3_N4","CD001920","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2006
"CD001920_G3_N6","CD001920","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2006
"CD001920_G4_N4","CD001920","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006.5
"CD001920_G5_N1","CD001920","GENSUM","GIV",19,0.015,"Robust",0,0,1,2014
"CD001920_G5_N2","CD001920","GENSUM","GIV",20,0,"Robust",0,0,1,2014
"CD001920_G5_N3","CD001920","GENSUM","GIV",13,0.105,"Robust",0,0,1,2013
"CD001920_G5_N4","CD001920","GENSUM","GIV",16,0.06,"Robust",0,0,1,2014.5
"CD001920_G5_N5","CD001920","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2015
"CD001920_G6_N4","CD001920","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2014
"CD001920_G7_N1","CD001920","GENSUM","GIV",20,0,"Robust",0,0,1,2014
"CD001920_G7_N10","CD001920","GENSUM","GIV",15,0.075,"Robust",0,0,1,2011
"CD001920_G7_N2","CD001920","GENSUM","GIV",18,0.03,"Robust",0,0,1,2014
"CD001920_G7_N3","CD001920","GENSUM","GIV",21,0,"Robust",0,0,1,2015
"CD001920_G7_N4","CD001920","GENSUM","GIV",23,0,"Robust",0,0,1,2015
"CD001920_G7_N6","CD001920","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2018
"CD001920_G7_N7","CD001920","GENSUM","GIV",14,0.09,"Robust",0,0,1,2013
"CD001920_G7_N8","CD001920","GENSUM","GIV",14,0.09,"Robust",0,0,1,2012.5
"CD001920_G7_N9","CD001920","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD001920_G8_N1","CD001920","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD001920_G8_N2","CD001920","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013.5
"CD001920_G8_N3","CD001920","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD001920_G8_N4","CD001920","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2014
"CD001920_G9_N1","CD001920","GENSUM","GIV",29,0,"Robust",0,0,1,2013
"CD001920_G9_N2","CD001920","GENSUM","GIV",54,0,"Robust",0,0,1,2013
"CD001920_G9_N3","CD001920","GENSUM","GIV",46,0,"Robust",0,0,1,2010
"CD001920_G9_N4","CD001920","GENSUM","GIV",48,0,"Robust",0,0,1,2010
"CD001920_G9_N5","CD001920","GENSUM","GIV",48,0,"Robust",0,0,1,2013
"CD001920_G9_N6","CD001920","GENSUM","GIV",54,0,"Robust",0,0,1,2013
"CD001920_G9_N7","CD001920","GENSUM","GIV",54,0,"Robust",0,0,1,2013
"CD002042_G1_N1","CD002042","GENSUM","GEN_CI",52,0.197,"Low Fragility",97.1,0.6112,0,2013.5
"CD002042_G1_N10","CD002042","GENSUM","GEN_CI",44,0.038,"Robust",16.6,0.9276,0,2014
"CD002042_G1_N11","CD002042","GENSUM","GEN_CI",31,0.056,"Robust",25.6,0.943,0,2014
"CD002042_G1_N12","CD002042","GENSUM","GEN_CI",29,0.033,"Robust",14,0.978,0,2014
"CD002042_G1_N13","CD002042","GENSUM","GEN_CI",18,0.037,"Robust",0,0.8664,0,2012.5
"CD002042_G1_N14","CD002042","GENSUM","GEN_CI",10,0.209,"Low Fragility",22.4,1.0925,0,2015
"CD002042_G1_N15","CD002042","GENSUM","GEN_CI",24,0.002,"Robust",0,1.0029,0,2015.5
"CD002042_G1_N16","CD002042","GENSUM","GEN_CI",4,0.247,"Low Fragility",0,1.1306,0,2019
"CD002042_G1_N17","CD002042","GENSUM","GEN_CI",33,0.088,"Robust",28.4,0.8488,0,2013.5
"CD002042_G1_N18","CD002042","GENSUM","GEN_CI",20,0.074,"Robust",26.9,0.6969,0,2013
"CD002042_G1_N19","CD002042","GENSUM","GEN_CI",26,0.052,"Robust",18.7,0.9093,0,2014
"CD002042_G1_N2","CD002042","GENSUM","GEN_CI",53,0.197,"Low Fragility",97,0.6108,0,2013
"CD002042_G1_N20","CD002042","GENSUM","GEN_CI",36,0.136,"Robust",65.4,0.9271,0,2014
"CD002042_G1_N21","CD002042","GENSUM","GEN_CI",20,0.004,"Robust",0,0.9393,0,2013
"CD002042_G1_N22","CD002042","DICH","logOR",18,0.093,"Robust",29,0.9992,0,2014
"CD002042_G1_N23","CD002042","GENSUM","GEN_CI",13,0.212,"Low Fragility",49.9,1.0328,0,2013
"CD002042_G1_N24","CD002042","DICH","logOR",12,0.13,"Robust",0,0.9367,0,2016
"CD002042_G1_N25","CD002042","GENSUM","GEN_CI",3,0.319,"Moderate Fragility",0,0.8743,2e-04,2019
"CD002042_G1_N26","CD002042","GENSUM","GEN_CI",15,0.175,"Low Fragility",34.1,0.7426,0,2014
"CD002042_G1_N27","CD002042","DICH","logOR",21,0.021,"Robust",0,0.6962,0,2014
"CD002042_G1_N28","CD002042","GENSUM","GEN_CI",12,0.282,"Low Fragility",70.5,0.7872,0,2014
"CD002042_G1_N29","CD002042","GENSUM","GEN_CI",4,0.307,"Moderate Fragility",20.5,0.8938,0,2016
"CD002042_G1_N3","CD002042","GENSUM","GEN_CI",42,0.198,"Low Fragility",97.6,0.6188,0,2013
"CD002042_G1_N30","CD002042","GENSUM","GEN_CI",15,0.081,"Robust",0,0.9808,0,2015
"CD002042_G1_N31","CD002042","GENSUM","GEN_CI",9,0.22,"Low Fragility",16.6,1.0064,0,2014.5
"CD002042_G1_N32","CD002042","GENSUM","GEN_CI",10,0.161,"Low Fragility",0,1.1327,0,2013
"CD002042_G1_N33","CD002042","GENSUM","GEN_CI",18,0.072,"Robust",0,0.2852,0,2015
"CD002042_G1_N34","CD002042","GENSUM","GEN_CI",10,0.223,"Low Fragility",0,0.3063,0,2019
"CD002042_G1_N4","CD002042","GENSUM","GEN_CI",41,0.198,"Low Fragility",97.2,0.5959,0,2013
"CD002042_G1_N5","CD002042","GENSUM","GEN_CI",21,0.202,"Low Fragility",93.5,-1.3791,0,2013
"CD002042_G1_N6","CD002042","GENSUM","GEN_CI",44,0.038,"Robust",16.6,0.9276,0,2014
"CD002042_G1_N7","CD002042","GENSUM","GEN_CI",37,0.03,"Robust",12.6,0.905,0,2013
"CD002042_G1_N8","CD002042","GENSUM","GEN_CI",45,0.037,"Robust",16.1,0.929,0,2013.5
"CD002042_G1_N9","CD002042","GENSUM","GEN_CI",45,0.037,"Robust",16.1,0.929,0,2013.5
"CD002042_G2_N1","CD002042","GENSUM","GEN_CI",5,0.446,"Moderate Fragility",94.8,0.6174,0,2013
"CD002042_G2_N10","CD002042","GENSUM","GEN_CI",3,0.688,"High Fragility",0,1.2059,5e-04,2016
"CD002042_G2_N16","CD002042","GENSUM","GEN_CI",3,0.266,"Low Fragility",0,0.8666,0,2013
"CD002042_G2_N17","CD002042","GENSUM","GEN_CI",3,0.264,"Low Fragility",0,1.1607,0.0018,2013
"CD002042_G2_N19","CD002042","GENSUM","GEN_CI",3,0.293,"Low Fragility",0,1.0282,0.1462,2007
"CD002042_G2_N2","CD002042","GENSUM","GEN_CI",6,0.429,"Moderate Fragility",97.6,0.535,0,2007
"CD002042_G2_N20","CD002042","DICH","logOR",3,0.505,"High Fragility",0,0.0728,0.9589,2007
"CD002042_G2_N4","CD002042","DICH","logOR",7,0.262,"Low Fragility",0,0.9826,0.0031,2013
"CD002042_G2_N5","CD002042","DICH","logOR",8,0.24,"Low Fragility",0,0.9826,0.0026,2013
"CD002042_G2_N6","CD002042","DICH","logOR",7,0.262,"Low Fragility",0,0.9826,0.0031,2013
"CD002042_G2_N7","CD002042","DICH","logOR",6,0.285,"Low Fragility",0,1.0097,0.0027,2013
"CD002042_G2_N8","CD002042","DICH","logOR",6,0.343,"Moderate Fragility",0,0.8715,0.0137,2013
"CD002042_G2_N9","CD002042","GENSUM","GEN_CI",3,0.582,"High Fragility",0,0.6422,0.0256,2018
"CD002112_G1_N1","CD002112","GENSUM","GIV",11,0.135,"Robust",0,0,1,1996
"CD002112_G1_N2","CD002112","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1999
"CD002112_G1_N6","CD002112","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1992
"CD002112_G2_N1","CD002112","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2001
"CD002112_G2_N2","CD002112","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2001
"CD002115_G2_N1","CD002115","GENSUM","GIV",3,0.59,"High Fragility",77.3,-2.6278,0.0381,2015
"CD002115_G2_N2","CD002115","GENSUM","GIV",9,0.597,"High Fragility",88.5,-0.6427,0.0431,2016
"CD002115_G2_N3","CD002115","GENSUM","GIV",7,0.311,"Moderate Fragility",41.9,-1.9822,0.009,2016
"CD002122_G1_N1","CD002122","GENSUM","GEN_CI",7,0.384,"Moderate Fragility",82,-1.4135,0,2018
"CD002122_G1_N2","CD002122","GENSUM","GEN_CI",6,0.632,"High Fragility",100,-2.6171,0.0325,1987
"CD002122_G1_N3","CD002122","GENSUM","GEN_CI",7,0.295,"Low Fragility",38,0.5235,0,2022
"CD002122_G1_N6","CD002122","GENSUM","GEN_CI",5,0.384,"Moderate Fragility",57.7,8.2509,3e-04,2018
"CD002122_G1_N7","CD002122","GENSUM","GEN_CI",33,0.008,"Robust",0,1.06,0,2017
"CD002122_G10_N1","CD002122","GENSUM","GEN_CI",8,0.337,"Moderate Fragility",76.2,0.9682,0,2006
"CD002122_G10_N2","CD002122","GENSUM","GEN_CI",15,0.244,"Low Fragility",70.2,0.3009,6e-04,2006
"CD002122_G11_N2","CD002122","GENSUM","GEN_CI",11,0.147,"Robust",0,1.0051,0,2014
"CD002122_G12_N1","CD002122","GENSUM","GEN_CI",11,0.248,"Low Fragility",10.4,0.1877,0.005,2012
"CD002122_G13_N1","CD002122","GENSUM","GEN_CI",4,0.272,"Low Fragility",0,0.5207,0.0992,2009
"CD002122_G13_N3","CD002122","GENSUM","GEN_CI",14,0.148,"Robust",0,0.8785,0.0039,2009
"CD002122_G2_N1","CD002122","GENSUM","GEN_CI",3,0.553,"High Fragility",0,0.5783,0.0387,2010
"CD002122_G2_N3","CD002122","GENSUM","GEN_CI",10,0.17,"Low Fragility",0,0.7289,0,2010
"CD002122_G3_N1","CD002122","GENSUM","GEN_CI",3,0.646,"High Fragility",62.7,-0.3381,0.1234,2023
"CD002122_G3_N2","CD002122","GENSUM","GEN_CI",5,0.543,"High Fragility",55.5,0.6093,0.0303,2023
"CD002122_G4_N1","CD002122","GENSUM","GEN_CI",7,0.53,"High Fragility",70.9,0.3073,0.3241,2021
"CD002122_G4_N3","CD002122","GENSUM","GEN_CI",4,0.26,"Low Fragility",0,1.1636,1e-04,2022
"CD002122_G4_N4","CD002122","GENSUM","GEN_CI",8,0.428,"Moderate Fragility",66.8,1.646,0.463,2002
"CD002122_G4_N6","CD002122","GENSUM","GEN_CI",42,0.093,"Robust",41,0.5401,0,2005
"CD002122_G5_N1","CD002122","GENSUM","GEN_CI",12,0.385,"Moderate Fragility",61.2,-0.0539,0.4757,2016
"CD002122_G5_N2","CD002122","GENSUM","GEN_CI",9,0.265,"Low Fragility",45.9,0.8996,0,2012
"CD002122_G5_N3","CD002122","GENSUM","GEN_CI",7,0.42,"Moderate Fragility",32.5,-1.5238,0.2274,2002
"CD002122_G5_N5","CD002122","GENSUM","GEN_CI",7,0.435,"Moderate Fragility",91.2,2.3992,0.1066,2012
"CD002122_G5_N7","CD002122","DICH","logOR",57,0.181,"Low Fragility",85.3,0.6096,0,2012
"CD002122_G7_N1","CD002122","GENSUM","GEN_CI",6,0.57,"High Fragility",98.3,0.1689,0.3203,1987
"CD002122_G7_N3","CD002122","GENSUM","GEN_CI",4,0.336,"Moderate Fragility",18.5,1.0722,0.0034,1987
"CD002122_G8_N1","CD002122","GENSUM","GEN_CI",5,0.227,"Low Fragility",0,1.0935,0,2009
"CD002122_G8_N2","CD002122","GENSUM","GEN_CI",7,0.313,"Moderate Fragility",0,0.5233,0.0281,2009
"CD002122_G9_N1","CD002122","GENSUM","GEN_CI",4,0.604,"High Fragility",69.3,-0.081,0.5578,2012
"CD002122_G9_N4","CD002122","GENSUM","GEN_CI",8,0.512,"High Fragility",76.6,0.5491,0.0949,2012
"CD002203_G1_N26","CD002203","GENSUM","GIV",4,0.274,"Low Fragility",0,0.5447,2e-04,2014
"CD002203_G1_N4","CD002203","GENSUM","GIV",4,0.26,"Low Fragility",0,-0.4862,0,2014
"CD002243_G1_N1","CD002243","GENSUM","GIV",68,0,"Robust",0,0,1,2013.5
"CD002243_G1_N8","CD002243","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD002243_G1_N9","CD002243","GENSUM","GIV",15,0.075,"Robust",0,0,1,2007
"CD002290_G17_N1","CD002290","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,1990
"CD002290_G17_N3","CD002290","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1990
"CD002290_G21_N1","CD002290","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2005
"CD002290_G3_N1","CD002290","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2022
"CD002290_G3_N2","CD002290","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD002290_G9_N1","CD002290","GENSUM","GIV",16,0.06,"Robust",0,0,1,1998.5
"CD002971_G1_N1","CD002971","GENSUM","GIV",10,0.15,"Robust",0,0,1,2009
"CD002971_G1_N10","CD002971","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2020
"CD002971_G1_N11","CD002971","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1984
"CD002971_G1_N14","CD002971","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2020
"CD002971_G1_N2","CD002971","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2016
"CD002971_G1_N3","CD002971","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2016
"CD002971_G1_N4","CD002971","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1983
"CD002971_G1_N5","CD002971","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1984
"CD003218_G1_N1","CD003218","GENSUM","GIV",3,0.705,"High Fragility",68.8,3.5684,0.0462,2009
"CD003218_G1_N2","CD003218","GENSUM","GIV",5,0.429,"Moderate Fragility",85.6,-2.6094,0.0022,2007
"CD003218_G1_N5","CD003218","GENSUM","GIV",5,0.328,"Moderate Fragility",0,0.5303,0.2033,2007
"CD003429_G1_N1","CD003429","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD003429_G1_N10","CD003429","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD003429_G1_N7","CD003429","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2011
"CD003429_G1_N8","CD003429","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2011
"CD003451_G1_N3","CD003451","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD003477_G1_N1","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2015
"CD003477_G1_N2","CD003477","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2012
"CD003477_G1_N3","CD003477","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2012
"CD003477_G1_N4","CD003477","GENSUM","GIV",11,0.135,"Robust",0,0,1,2012
"CD003477_G1_N5","CD003477","GENSUM","GIV",10,0.15,"Robust",0,0,1,2014.5
"CD003477_G1_N7","CD003477","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2014
"CD003477_G2_N1","CD003477","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD003477_G2_N2","CD003477","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2011
"CD003477_G2_N3","CD003477","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2010
"CD003477_G2_N4","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2010.5
"CD003477_G2_N5","CD003477","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2014.5
"CD003477_G3_N1","CD003477","GENSUM","GIV",10,0.15,"Robust",0,0,1,2015
"CD003477_G3_N2","CD003477","GENSUM","GIV",10,0.15,"Robust",0,0,1,2015.5
"CD003477_G3_N3","CD003477","GENSUM","GIV",10,0.15,"Robust",0,0,1,2013
"CD003477_G3_N4","CD003477","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013.5
"CD003477_G3_N5","CD003477","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2014.5
"CD003477_G3_N6","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD003477_G3_N7","CD003477","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2014
"CD003477_G4_N1","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014.5
"CD003477_G4_N2","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014.5
"CD003477_G4_N3","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD003477_G4_N5","CD003477","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014.5
"CD003477_G5_N1","CD003477","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD003511_G1_N1","CD003511","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1964.5
"CD003519_G1_N1","CD003519","GENSUM","GEN_CI",12,0.122,"Robust",0,1.261,0,2013
"CD003519_G1_N10","CD003519","GENSUM","GEN_CI",3,0.594,"High Fragility",0,-0.9047,0.0459,2017
"CD003519_G1_N12","CD003519","GENSUM","GEN_CI",14,0.168,"Low Fragility",34.9,1.1564,0,1996.5
"CD003519_G1_N13","CD003519","GENSUM","GEN_CI",13,0.108,"Robust",0,1.2216,0,1997
"CD003519_G1_N14","CD003519","GENSUM","GEN_CI",7,0.461,"Moderate Fragility",70.5,42.486,0.0787,1977
"CD003519_G1_N15","CD003519","GENSUM","GEN_CI",6,0.218,"Low Fragility",0,63.7283,0,1986.5
"CD003519_G1_N16","CD003519","GENSUM","GEN_CI",3,0.745,"High Fragility",86.8,0.8475,0.2384,2001
"CD003519_G1_N17","CD003519","GENSUM","GEN_CI",6,0.435,"Moderate Fragility",89.3,0.7941,0.007,2014
"CD003519_G1_N18","CD003519","GENSUM","GEN_CI",8,0.361,"Moderate Fragility",84.7,1.4474,0,2012
"CD003519_G1_N2","CD003519","GENSUM","GEN_CI",11,0.137,"Robust",0,1.2812,0,2014
"CD003519_G1_N20","CD003519","GENSUM","GEN_CI",4,0.282,"Low Fragility",0,0.3313,0.0682,2014.5
"CD003519_G1_N21","CD003519","GENSUM","GEN_CI",3,0.405,"Moderate Fragility",0,0.2436,0.3467,2019
"CD003519_G1_N23","CD003519","GENSUM","GEN_CI",5,0.636,"High Fragility",77.4,-0.5822,0.0173,2022
"CD003519_G1_N24","CD003519","GENSUM","GEN_CI",4,0.427,"Moderate Fragility",66.1,-0.4957,0.0054,2010
"CD003519_G1_N25","CD003519","GENSUM","GEN_CI",3,0.583,"High Fragility",41.6,5.2189,0.0517,2011
"CD003519_G1_N3","CD003519","GENSUM","GEN_CI",11,0.137,"Robust",0,1.2599,0,2012
"CD003519_G1_N4","CD003519","GENSUM","GEN_CI",11,0.249,"Low Fragility",53.7,1.2221,0,2012
"CD003519_G1_N5","CD003519","GENSUM","GEN_CI",10,0.171,"Low Fragility",6.2,1.2738,0,2012
"CD003519_G1_N6","CD003519","GENSUM","GEN_CI",11,0.348,"Moderate Fragility",95.6,0.2786,1e-04,2009.5
"CD003519_G1_N7","CD003519","GENSUM","GEN_CI",3,0.257,"Low Fragility",0,10.4898,0,1999
"CD003519_G1_N9","CD003519","GENSUM","GEN_CI",4,0.595,"High Fragility",88.6,-2.2628,0.1252,2018
"CD003519_G2_N1","CD003519","GENSUM","GEN_CI",5,0.227,"Low Fragility",0,1.2295,0,2019
"CD003519_G3_N1","CD003519","GENSUM","GEN_CI",12,0.122,"Robust",0,1.261,0,2013
"CD003519_G3_N2","CD003519","GENSUM","GEN_CI",11,0.249,"Low Fragility",53.7,1.2221,0,2012
"CD003519_G3_N3","CD003519","GENSUM","GEN_CI",15,0.155,"Low Fragility",36.1,1.1752,0,1997
"CD003519_G3_N4","CD003519","GENSUM","GEN_CI",6,0.218,"Low Fragility",0,63.7283,0,1986.5
"CD003519_G3_N5","CD003519","GENSUM","GEN_CI",11,0.39,"Moderate Fragility",96.6,0.235,0.0045,2009.5
"CD003519_G4_N1","CD003519","GENSUM","GEN_CI",12,0.122,"Robust",0,1.261,0,2013
"CD003519_G4_N2","CD003519","GENSUM","GEN_CI",10,0.27,"Low Fragility",56.8,1.2168,0,2011
"CD003519_G4_N3","CD003519","GENSUM","GEN_CI",15,0.155,"Low Fragility",36.1,1.1752,0,1997
"CD003519_G4_N4","CD003519","GENSUM","GEN_CI",6,0.218,"Low Fragility",0,63.7283,0,1986.5
"CD003519_G4_N5","CD003519","GENSUM","GEN_CI",11,0.348,"Moderate Fragility",95.6,0.2791,1e-04,2009.5
