"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD015140_G1_N1","CD015140","GENSUM","GIV",3,0.972,"High Fragility",0,-0.6139,1e-04,2022
"CD015140_G1_N2","CD015140","GENSUM","GIV",3,0.972,"High Fragility",0,-0.6139,1e-04,2022
"CD011671_G1_N9","CD011671","GENSUM","GIV",3,0.931,"High Fragility",63.2,-0.0706,0.9368,2014
"CD012170_G6_N3","CD012170","GENSUM","GIV",3,0.812,"High Fragility",45.2,1.6066,0.2748,2014
"CD015219_G4_N3","CD015219","GENSUM","GIV",3,0.81,"High Fragility",77.3,0.2512,0.383,2021
"CD013590_G3_N10","CD013590","GENSUM","GIV",3,0.808,"High Fragility",93,-2.4987,0.4752,2008
"CD016064_G15_N3","CD016064","GENSUM","GIV",4,0.808,"High Fragility",65.3,-0.0828,0.7543,2005
"CD008145_G1_N6","CD008145","GENSUM","GIV",4,0.8,"High Fragility",94.4,0.2363,0.0186,2017.5
"CD015219_G1_N4","CD015219","GENSUM","GIV",4,0.792,"High Fragility",76,0.1159,0.6515,2021
"CD011535_G5_N13","CD011535","GENSUM","GEN_CI",4,0.785,"High Fragility",60.6,0.2229,0.0218,2018
"CD016002_G1_N11","CD016002","GENSUM","GEN_CI",3,0.776,"High Fragility",68.6,0.1957,0.591,2022
"CD015875_G1_N23","CD015875","GENSUM","GEN_CI",3,0.771,"High Fragility",74.7,-1.5691,0.6132,2018
"CD008145_G5_N4","CD008145","GENSUM","GIV",3,0.761,"High Fragility",94.6,0.2079,0.3377,2017
"CD015145_G3_N6","CD015145","GENSUM","GEN_CI",3,0.76,"High Fragility",69.3,3.0829,0.3704,2016
"CD015215_G5_N5","CD015215","GENSUM","GIV",3,0.76,"High Fragility",94.3,-3.4971,0.2845,1993
"CD015495_G3_N3","CD015495","GENSUM","GIV",3,0.76,"High Fragility",60.7,-0.1844,0.4608,2020
"CD016031_G2_N9","CD016031","GENSUM","GEN_CI",4,0.748,"High Fragility",91.5,-0.2597,0.4861,2016.5
"CD006140_G4_N3","CD006140","GENSUM","GEN_CI",3,0.747,"High Fragility",87.5,-0.242,0.5778,NA
"CD003519_G1_N16","CD003519","GENSUM","GEN_CI",3,0.745,"High Fragility",86.8,0.8475,0.2384,2001
"CD008145_G9_N7","CD008145","GENSUM","GIV",3,0.745,"High Fragility",97.6,1.0786,0.0253,2010
